caldt,totval,spindx,sprtrn
19261008,16418481.00,,
19261009,16243116.70,,
19261011,16124699.10,,
19261013,16259060.00,,
19261014,16427256.20,,
19261015,16157628.10,,
19261016,15977962.00,,
19261018,16175758.90,,
19261019,15923945.40,,
19261020,15929678.00,,
19261021,16202820.80,,
19261022,16176767.80,,
19261023,16197618.70,,
19261025,16192810.00,,
19261026,16236343.20,,
19261027,16435184.00,,
19261028,16401096.40,,
19261029,16389815.40,,
19261030,16275309.30,,
19261101,16425506.60,,
19261103,16469325.80,,
19261104,16588053.00,,
19261105,16580812.10,,
19261106,16609244.90,,
19261108,16715251.20,,
19261109,16714173.60,,
19261110,16580257.20,,
19261111,16696622.00,,
19261112,16743992.80,,
19261113,16680368.20,,
19261115,16863504.40,,
19261116,16912592.40,,
19261117,16845560.90,,
19261118,16809383.80,,
19261119,16567476.60,,
19261120,16628144.40,,
19261122,16673000.80,,
19261123,16857459.60,,
19261124,16870933.80,,
19261126,16940331.80,,
19261127,16916117.10,,
19261129,16858322.60,,
19261130,16907546.60,,
19261201,16994146.90,,
19261202,17016954.50,,
19261203,17050356.90,,
19261204,17028312.90,,
19261206,17043584.00,,
19261207,17021783.30,,
19261208,17054926.40,,
19261209,17076276.00,,
19261210,17141763.10,,
19261211,17157891.30,,
19261213,17200601.60,,
19261214,17293807.00,,
19261215,17256321.10,,
19261216,17155379.50,,
19261217,17329677.00,,
19261218,17410615.70,,
19261220,17350997.80,,
19261221,17179636.80,,
19261222,17367599.60,,
19261223,17420873.50,,
19261224,17435812.80,,
19261227,17411931.10,,
19261228,17212514.80,,
19261229,17294903.50,,
19261230,17204713.40,,
19261231,17028798.80,,
19270103,16881124.80,,
19270104,16990761.60,,
19270105,16996763.20,,
19270106,16878749.00,,
19270107,16944727.80,,
19270108,16984726.70,,
19270110,17079292.60,,
19270111,17030041.20,,
19270112,17063461.60,,
19270113,17057453.90,,
19270114,17051653.60,,
19270115,17078294.80,,
19270117,17061661.40,,
19270118,16780680.80,,
19270119,17155805.20,,
19270120,17159940.30,,
19270121,17132684.70,,
19270122,17067758.60,,
19270124,16681347.80,,
19270125,16779743.40,,
19270126,16814568.60,,
19270127,16749833.90,,
19270128,16775233.60,,
19270129,16917734.20,,
19270131,17018724.40,,
19270201,16927642.90,,
19270202,17090786.00,,
19270203,17119051.10,,
19270204,16998792.00,,
19270205,17167965.90,,
19270207,17143520.50,,
19270208,17086910.60,,
19270209,17148819.60,,
19270210,17112489.10,,
19270211,17194500.50,,
19270214,17324556.60,,
19270215,17331755.80,,
19270216,17332213.20,,
19270217,17354226.00,,
19270218,17405585.00,,
19270219,17412910.10,,
19270221,17437761.00,,
19270223,17578447.50,,
19270224,17585892.00,,
19270225,17671162.60,,
19270226,17619103.10,,
19270228,17776303.50,,
19270301,17711682.80,,
19270302,17478678.40,,
19270303,17693668.80,,
19270304,17560774.40,,
19270305,17516053.50,,
19270307,17471213.50,,
19270308,17499963.90,,
19270309,17598768.10,,
19270310,17687683.50,,
19270311,17724508.50,,
19270312,17562442.00,,
19270314,17750609.20,,
19270315,17614439.80,,
19270316,17764449.80,,
19270317,17839327.00,,
19270318,17711767.90,,
19270319,17654446.20,,
19270321,17768725.80,,
19270322,17583741.60,,
19270323,17640816.90,,
19270324,17749706.10,,
19270325,17757973.30,,
19270326,17802642.10,,
19270328,17907503.00,,
19270329,17872292.20,,
19270330,17787888.30,,
19270331,17883291.60,,
19270401,17887591.90,,
19270402,17862638.10,,
19270404,17976306.60,,
19270405,18047466.60,,
19270406,18052452.80,,
19270407,18080563.90,,
19270408,18154118.50,,
19270409,18149173.00,,
19270411,18210522.20,,
19270412,18140973.80,,
19270413,18211348.20,,
19270414,18216011.00,,
19270416,18271320.40,,
19270418,18261150.00,,
19270419,18280804.80,,
19270420,18336283.10,,
19270421,18420055.10,,
19270422,18482561.90,,
19270423,18414823.60,,
19270425,18145166.60,,
19270426,18242938.20,,
19270427,18202535.40,,
19270428,17992129.00,,
19270429,18099208.00,,
19270430,18088304.20,,
19270502,18126691.50,,
19270503,18270606.10,,
19270504,18405438.50,,
19270505,18457309.60,,
19270506,18507586.00,,
19270507,18578604.10,,
19270509,18604915.20,,
19270510,18604122.90,,
19270511,18554135.00,,
19270512,18605760.60,,
19270513,18713102.40,,
19270514,18724003.40,,
19270516,18590293.60,,
19270517,18675391.60,,
19270518,18808898.00,,
19270519,18834978.00,,
19270520,18925781.60,,
19270521,18961198.20,,
19270523,18985879.50,,
19270524,18953100.60,,
19270525,18998796.60,,
19270526,19028435.00,,
19270527,19098873.00,,
19270528,19132158.90,,
19270531,19323089.50,,
19270601,19403664.20,,
19270602,19422846.20,,
19270603,19190939.60,,
19270604,19288586.80,,
19270606,19372333.40,,
19270607,19300133.00,,
19270608,19346790.80,,
19270609,19348855.40,,
19270610,19272342.50,,
19270611,19259386.90,,
19270614,18904748.90,,
19270615,19043076.60,,
19270616,19184916.50,,
19270617,19188672.10,,
19270618,19153133.10,,
19270620,19171388.80,,
19270621,19115614.60,,
19270622,19139347.20,,
19270623,18991488.00,,
19270624,19014375.80,,
19270625,18988854.10,,
19270627,18776225.20,,
19270628,18832424.20,,
19270629,18853235.60,,
19270630,18855819.60,,
19270701,18955129.90,,
19270702,19063261.20,,
19270705,19242864.70,,
19270706,19356303.90,,
19270707,19154822.90,,
19270708,19284869.50,,
19270709,19197344.40,,
19270711,19408735.60,,
19270712,19496708.20,,
19270713,19543366.90,,
19270714,19630241.20,,
19270715,19651843.60,,
19270716,19678404.90,,
19270718,19715812.40,,
19270719,19805330.50,,
19270720,19898477.20,,
19270721,19905965.40,,
19270722,19877782.00,,
19270723,19910464.20,,
19270725,20004689.40,,
19270726,20080885.50,,
19270727,20112584.00,,
19270728,20131467.90,,
19270729,20225601.50,,
19270730,20355724.10,,
19270801,20503217.60,,
19270802,20688290.40,,
19270803,20511008.60,,
19270804,20686891.50,,
19270805,20578748.20,,
19270806,20531063.00,,
19270808,20303954.80,,
19270809,20502016.20,,
19270810,20606199.80,,
19270811,20411341.00,,
19270812,20117197.40,,
19270813,20302626.40,,
19270815,20575103.10,,
19270816,20686691.10,,
19270817,20725708.20,,
19270818,20746332.40,,
19270819,20855613.50,,
19270820,20925140.00,,
19270822,21035293.80,,
19270823,21059925.00,,
19270824,21114077.50,,
19270825,21125369.90,,
19270826,21214505.10,,
19270827,21090926.40,,
19270829,21217365.40,,
19270830,21241522.80,,
19270831,21138727.10,,
19270901,21311660.80,,
19270902,21445265.00,,
19270903,21567065.80,,
19270906,21785514.40,,
19270907,21840654.00,,
19270908,21817377.90,,
19270909,21689736.40,,
19270910,21782064.50,,
19270912,21683521.00,,
19270913,21962803.20,,
19270914,22038729.50,,
19270915,22144260.40,,
19270916,22162908.80,,
19270917,22101594.40,,
19270919,21980258.60,,
19270920,22077675.60,,
19270921,22051182.10,,
19270922,21790026.20,,
19270923,21882050.10,,
19270924,22055382.80,,
19270926,21824183.00,,
19270927,21866190.60,,
19270928,21785582.10,,
19270929,21829163.90,,
19270930,22117908.20,,
19271001,22248209.10,,
19271003,22332244.00,,
19271004,22245788.90,,
19271005,22183012.20,,
19271006,22252498.80,,
19271007,22054651.80,,
19271008,21977291.20,,
19271010,21823415.00,,
19271011,21844841.50,,
19271013,22021675.80,,
19271014,22006763.80,,
19271015,21997981.40,,
19271017,21679239.90,,
19271018,21765728.10,,
19271019,21532857.80,,
19271020,21299483.90,,
19271021,21131726.10,,
19271022,20962022.00,,
19271024,21027735.90,,
19271025,21393982.00,,
19271026,21404490.20,,
19271027,21301040.70,,
19271028,20962218.20,,
19271029,20883728.80,,
19271031,21050088.10,,
19271101,21044329.20,,
19271102,21269173.60,,
19271103,21510487.20,,
19271104,21493541.90,,
19271105,21645429.90,,
19271107,21804625.40,,
19271109,21570359.60,,
19271110,21638123.60,,
19271111,21877725.60,,
19271112,21958607.60,,
19271114,22106762.40,,
19271115,22085583.40,,
19271116,22065498.40,,
19271117,22104038.10,,
19271118,22182873.80,,
19271119,22238974.20,,
19271121,22077790.00,,
19271122,22173579.50,,
19271123,22250361.20,,
19271125,22314094.10,,
19271126,22318374.80,,
19271128,22126291.60,,
19271129,22255830.90,,
19271130,22421224.20,,
19271201,22269528.40,,
19271202,22369046.50,,
19271203,22469799.50,,
19271205,22374433.60,,
19271206,22353713.60,,
19271207,22238427.10,,
19271208,22005159.90,,
19271209,22241525.50,,
19271210,22220457.40,,
19271212,22317077.00,,
19271213,22406754.60,,
19271214,22282411.50,,
19271215,22405748.10,,
19271216,22570310.90,,
19271217,22543290.10,,
19271219,22434847.60,,
19271220,22642173.10,,
19271221,22583891.20,,
19271222,22601291.60,,
19271223,22659243.90,,
19271224,22698437.00,,
19271227,22724113.60,,
19271228,22565294.10,,
19271229,22637015.90,,
19271230,22684853.00,,
19271231,22880436.60,,
19280103,22975186.00,,
19280104,22932375.50,,
19280105,22732792.40,,
19280106,22876337.80,,
19280107,22901762.00,,
19280109,22675924.80,,
19280110,22500359.80,,
19280111,22488651.40,,
19280112,22628863.90,,
19280113,22777380.10,,
19280114,22608580.10,,
19280116,22410575.50,,
19280117,22437617.20,,
19280118,22375314.90,,
19280119,22515793.80,,
19280120,22626061.90,,
19280121,22684154.10,,
19280123,22831310.20,,
19280124,22910032.40,,
19280125,22663611.10,,
19280126,22795291.50,,
19280127,22869744.60,,
19280128,22727520.90,,
19280130,22628866.40,,
19280131,22716371.50,,
19280201,22649641.20,,
19280202,22771738.90,,
19280203,22497444.10,,
19280204,22530761.80,,
19280206,22542536.60,,
19280207,22509400.90,,
19280208,22564127.20,,
19280209,22648528.90,,
19280210,22648705.10,,
19280211,22664820.20,,
19280214,22548566.90,,
19280215,22505064.50,,
19280216,22454074.00,,
19280217,22085665.00,,
19280218,22025845.00,,
19280220,21970906.80,,
19280221,21802245.10,,
19280223,22208714.00,,
19280224,22147602.40,,
19280225,22302503.20,,
19280227,22024986.10,,
19280228,22253033.00,,
19280229,22351074.60,,
19280301,22407871.90,,
19280302,22413562.80,,
19280303,22549925.50,,
19280305,22729745.20,,
19280306,22829183.00,,
19280307,22721751.90,,
19280308,22786430.20,,
19280309,23140063.20,,
19280310,23070356.00,,
19280312,23230075.60,,
19280313,23138234.60,,
19280314,23167234.20,,
19280315,23348667.80,,
19280316,23641020.50,,
19280317,23706468.50,,
19280319,23730127.50,,
19280320,23850116.60,,
19280321,24061078.00,,
19280322,24010880.60,,
19280323,24213889.60,,
19280324,24099775.00,,
19280326,24537898.00,,
19280327,24405400.20,,
19280328,24350740.00,,
19280329,24425636.10,,
19280330,24816591.20,,
19280331,24631644.00,,
19280402,24363087.20,,
19280403,24529000.20,,
19280404,24503368.80,,
19280405,24792410.50,,
19280409,24826319.40,,
19280410,24627114.80,,
19280411,25032039.20,,
19280412,24968583.60,,
19280413,25347645.20,,
19280414,25185313.80,,
19280416,25345366.10,,
19280417,25155752.80,,
19280418,25153504.60,,
19280419,25283096.90,,
19280420,24939137.50,,
19280423,24729924.50,,
19280424,24860140.90,,
19280425,25008686.90,,
19280426,25198469.60,,
19280427,25435514.20,,
19280428,25499128.50,,
19280430,25503612.10,,
19280501,25534588.90,,
19280502,25594848.20,,
19280503,25708825.80,,
19280504,26048659.90,,
19280507,26261818.10,,
19280508,26115757.00,,
19280509,26113037.40,,
19280510,26058886.00,,
19280511,26229604.20,,
19280514,26304887.00,,
19280515,26236226.10,,
19280516,25820926.40,,
19280517,25895882.40,,
19280518,25656657.40,,
19280521,25304205.10,,
19280522,25034836.50,,
19280523,25506937.20,,
19280524,25644645.10,,
19280525,25668090.60,,
19280528,25269491.60,,
19280529,25580274.00,,
19280531,25803556.00,,
19280601,25897566.10,,
19280602,26065277.40,,
19280604,25544060.80,,
19280605,25602866.40,,
19280606,25369830.80,,
19280607,25310983.20,,
19280608,24985959.20,,
19280609,24682695.40,,
19280611,24148137.10,,
19280612,23749561.20,,
19280613,24429141.90,,
19280614,24614718.10,,
19280615,24303176.90,,
19280616,24329210.90,,
19280618,23861785.00,,
19280619,23777306.90,,
19280620,24111581.90,,
19280621,24088188.40,,
19280622,24053854.50,,
19280623,23900475.90,,
19280625,23958123.10,,
19280626,24211017.90,,
19280627,24452999.20,,
19280628,24688791.40,,
19280629,24792925.90,,
19280630,24948490.40,,
19280702,24658810.50,,
19280703,25057416.40,,
19280705,25291123.00,,
19280706,25181288.80,,
19280707,25253577.00,,
19280709,25252802.60,,
19280710,25214733.10,,
19280711,24451286.20,,
19280712,24452928.20,,
